000000 0.100 0.400 0.100 0.400
000500 0.009 0.923 0.063 0.005
001000 0.002 0.928 0.070 0.000
001500 0.000 0.921 0.079 0.000
002000 0.000 0.926 0.074 0.000
002500 0.000 0.924 0.076 0.000
003000 0.000 0.925 0.075 0.000
003500 0.000 0.925 0.075 0.000
004000 0.000 0.923 0.077 0.000
004500 0.000 0.926 0.074 0.000
005000 0.000 0.923 0.077 0.000
005500 0.000 0.930 0.070 0.000
006000 0.000 0.928 0.072 0.000
006500 0.000 0.925 0.075 0.000
007000 0.000 0.925 0.075 0.000
007500 0.000 0.923 0.077 0.000
008000 0.000 0.923 0.077 0.000
008500 0.000 0.925 0.075 0.000
009000 0.000 0.926 0.074 0.000
009500 0.000 0.931 0.069 0.000
010000 0.000 0.927 0.073 0.000
