000000 0.250 0.250 0.250 0.250
000500 0.048 0.303 0.302 0.346
001000 0.024 0.269 0.327 0.380
001500 0.021 0.261 0.326 0.392
002000 0.022 0.222 0.326 0.430
002500 0.017 0.189 0.329 0.465
003000 0.011 0.156 0.336 0.496
003500 0.007 0.127 0.343 0.523
004000 0.006 0.104 0.342 0.548
004500 0.004 0.097 0.343 0.556
005000 0.004 0.081 0.344 0.571
005500 0.003 0.060 0.345 0.593
006000 0.005 0.059 0.342 0.595
006500 0.006 0.051 0.343 0.600
007000 0.001 0.037 0.345 0.616
007500 0.000 0.026 0.349 0.625
008000 0.001 0.023 0.342 0.634
008500 0.000 0.023 0.348 0.629
009000 0.000 0.021 0.350 0.629
009500 0.000 0.023 0.348 0.629
010000 0.000 0.016 0.345 0.639
