000000 0.250 0.250 0.250 0.250
000500 0.015 0.089 0.250 0.647
001000 0.000 0.053 0.323 0.623
001500 0.000 0.047 0.264 0.689
002000 0.000 0.033 0.276 0.691
002500 0.000 0.016 0.258 0.727
003000 0.000 0.007 0.287 0.706
003500 0.000 0.003 0.295 0.702
004000 0.000 0.003 0.264 0.732
004500 0.000 0.002 0.282 0.717
005000 0.000 0.003 0.285 0.712
005500 0.000 0.005 0.295 0.700
006000 0.000 0.004 0.281 0.714
006500 0.000 0.006 0.283 0.711
007000 0.000 0.005 0.291 0.704
007500 0.000 0.004 0.302 0.694
008000 0.000 0.002 0.286 0.711
008500 0.000 0.001 0.285 0.714
009000 0.000 0.000 0.266 0.734
009500 0.000 0.000 0.282 0.718
010000 0.000 0.000 0.268 0.732
