000000 0.250 0.250 0.250 0.250
000500 0.039 0.514 0.000 0.447
001000 0.039 0.517 0.000 0.445
001500 0.039 0.518 0.000 0.444
002000 0.039 0.520 0.000 0.441
002500 0.039 0.523 0.000 0.439
003000 0.039 0.525 0.000 0.436
003500 0.039 0.527 0.000 0.434
004000 0.039 0.529 0.000 0.433
004500 0.039 0.530 0.000 0.431
005000 0.039 0.530 0.000 0.432
005500 0.039 0.531 0.000 0.431
006000 0.039 0.532 0.000 0.429
006500 0.039 0.534 0.000 0.427
007000 0.039 0.534 0.000 0.427
007500 0.039 0.537 0.000 0.424
008000 0.039 0.538 0.000 0.424
008500 0.039 0.539 0.000 0.422
009000 0.039 0.540 0.000 0.422
009500 0.039 0.539 0.000 0.422
010000 0.039 0.540 0.000 0.422
