000000 0.250 0.250 0.250 0.250
000500 0.434 0.000 0.566 0.000
001000 0.399 0.000 0.601 0.000
001500 0.382 0.000 0.618 0.000
002000 0.388 0.000 0.612 0.000
002500 0.395 0.000 0.605 0.000
003000 0.383 0.000 0.617 0.000
003500 0.361 0.000 0.639 0.000
004000 0.381 0.000 0.619 0.000
004500 0.386 0.000 0.614 0.000
005000 0.431 0.000 0.569 0.000
005500 0.450 0.000 0.550 0.000
006000 0.429 0.000 0.571 0.000
006500 0.394 0.000 0.606 0.000
007000 0.454 0.000 0.546 0.000
007500 0.497 0.000 0.503 0.000
008000 0.520 0.000 0.480 0.000
008500 0.535 0.000 0.465 0.000
009000 0.603 0.000 0.397 0.000
009500 0.627 0.000 0.373 0.000
010000 0.606 0.000 0.394 0.000
